Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
11/7/2016 5:25:11 AM,MED #8 KL,Accepted Online,2020,Med Student 478
11/7/2016 5:44:40 AM,Med Annex2,Accepted Online,2020,Med Student 483
11/7/2016 6:20:20 AM,Med Annex2,Accepted Online,{null},Staff
11/7/2016 6:34:51 AM,MED #8 KL,Accepted Online,2020,Med Student 478
11/7/2016 7:00:51 AM,MED #5 KL,Accepted Online,2020,Med Student 511
11/7/2016 7:33:18 AM,MED #8 KL,Accepted Online,2019,Med Student 423
11/7/2016 9:17:04 AM,MED #8 KL,Accepted Online,2019,Med Student 393
11/7/2016 9:21:48 AM,MED #4 KL,Accepted Online,{null},Staff
11/7/2016 9:34:11 AM,MED #8 KL,Accepted Online,2020,Med Student 468
11/7/2016 9:34:27 AM,MED #8 KL,Accepted Online,2020,Med Student 561
11/7/2016 9:34:35 AM,Med Annex2,Accepted Online,2020,Med Student 508
11/7/2016 9:38:35 AM,MED #8 KL,Accepted Online,2020,Med Student 468
11/7/2016 9:40:40 AM,MED #8 KL,Accepted Online,2020,Med Student 561
11/7/2016 9:49:48 AM,Med Annex2,Accepted Online,2020,Med Student 564
11/7/2016 9:50:03 AM,Med #1 KL,Accepted Online,2020,Med Student 547
11/7/2016 9:50:05 AM,MED #5 KL,Accepted Online,2020,Med Student 511
11/7/2016 9:50:33 AM,MED #8 KL,Accepted Online,2020,Med Student 447
11/7/2016 9:50:36 AM,MED #4 KL,Accepted Online,2020,Med Student 551
11/7/2016 9:50:37 AM,MED #6 KL,Accepted Online,2020,Med Student 542
11/7/2016 9:50:49 AM,MED #7 KL,Accepted Online,2020,Med Student 516
11/7/2016 9:51:09 AM,MED #8 KL,Accepted Online,2020,Med Student 562
11/7/2016 9:51:09 AM,Med Annex2,Accepted Online,2020,Med Student 483
11/7/2016 9:51:50 AM,Med #1 KL,Accepted Online,2020,Med Student 547
11/7/2016 9:52:19 AM,MED #8 KL,Accepted Online,2020,Med Student 530
11/7/2016 9:52:31 AM,Med #2 KL,Accepted Online,2020,Med Student 505
11/7/2016 9:52:36 AM,MED #8 KL,Accepted Online,2020,Med Student 473
11/7/2016 9:52:41 AM,MED #5 KL,Accepted Online,2020,Med Student 511
11/7/2016 9:53:07 AM,MED #8 KL,Accepted Online,2020,Med Student 567
11/7/2016 9:53:18 AM,MED #3 KL,Accepted Online,2020,Med Student 482
11/7/2016 9:53:33 AM,MED #9 KL,Accepted Online,2020,Med Student 475
11/7/2016 9:53:36 AM,MED #8 KL,Accepted Online,2020,Med Student 524
11/7/2016 9:53:39 AM,MED #6 KL,Accepted Online,2020,Med Student 542
11/7/2016 9:53:49 AM,MED #8 KL,Accepted Online,2020,Med Student 522
11/7/2016 9:54:30 AM,Med #2 KL,Accepted Online,2020,Med Student 505
11/7/2016 9:54:34 AM,Med Annex1,Accepted Online,2020,Med Student 564
11/7/2016 9:54:53 AM,MED #5 KL,Accepted Online,2020,Med Student 511
11/7/2016 9:55:13 AM,MED #3 KL,Accepted Online,2020,Med Student 482
11/7/2016 9:55:18 AM,MED #8 KL,Accepted Online,2020,Med Student 557
11/7/2016 9:55:19 AM,MED #4 KL,Accepted Online,2020,Med Student 551
11/7/2016 9:55:34 AM,MED #9 KL,Accepted Online,2020,Med Student 451
11/7/2016 9:55:49 AM,MED #8 KL,Accepted Online,2020,Med Student 524
11/7/2016 9:56:51 AM,MED #8 KL,Accepted Online,2020,Med Student 515
11/7/2016 9:57:11 AM,MED #9 KL,Accepted Online,2020,Med Student 475
11/7/2016 9:58:16 AM,MED #4 KL,Accepted Online,2019,Med Student 386
11/7/2016 9:58:56 AM,MED #8 KL,Accepted Online,2020,Med Student 473
