Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
7/18/2016 8:18:39 AM,MED #8 KL,Accepted Online,2017,Med Student 172
7/18/2016 8:23:17 AM,MED #8 KL,Accepted Online,2017,Med Student 172
7/18/2016 9:43:02 AM,MED #8 KL,Accepted Online,2017,Med Student 172
7/18/2016 9:44:20 AM,Med Annex2,Accepted Online,{null},Staff
7/18/2016 9:50:31 AM,Med Annex2,Accepted Online,{null},Staff
7/18/2016 9:56:09 AM,Med Annex2,Accepted Online,{null},Staff
7/18/2016 10:57:48 AM,MED #8 KL,Accepted Online,2017,Med Student 172
7/18/2016 11:16:07 AM,Med Annex2,Accepted Online,{null},Staff
7/18/2016 11:52:53 AM,Med Annex2,Accepted Online,2017,Med Student 196
7/18/2016 11:58:17 AM,Med Annex1,Accepted Online,2017,Med Student 196
7/18/2016 12:03:59 PM,Med Annex1,Accepted Online,2017,Med Student 172
7/18/2016 1:30:14 PM,MED #8 KL,Accepted Online,2017,Med Student 172
7/18/2016 1:37:55 PM,Med Annex2,Accepted Online,{null},Staff
7/18/2016 2:12:17 PM,MED #8 KL,Accepted Online,2017,Med Student 172
7/18/2016 3:18:37 PM,Med Annex1,Accepted Online,2017,Med Student 172
7/18/2016 3:32:59 PM,MED #4 KL,Accepted Online,2017,Med Student 196
7/18/2016 3:56:17 PM,Med Annex2,Accepted Online,2017,Med Student 172
7/18/2016 4:39:50 PM,Med Annex1,Accepted Online,2017,Med Student 172
7/18/2016 6:03:47 PM,Med Annex1,Accepted Online,2017,Med Student 172
7/18/2016 6:16:13 PM,Med Annex1,Accepted Online,2017,Med Student 196
7/18/2016 6:56:48 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/19/2016 9:22:51 AM,Med Annex2,Accepted Online,{null},Staff
7/19/2016 11:20:09 AM,MED #8 KL,Accepted Online,{null},{null}
7/19/2016 1:15:08 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/19/2016 1:23:07 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/19/2016 1:24:37 PM,Med Annex2,Accepted Online,{null},Staff
7/19/2016 3:28:51 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/19/2016 5:56:32 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/19/2016 7:06:10 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/20/2016 8:25:55 AM,Med Annex1,Accepted Online,{null},Staff
7/20/2016 8:27:27 AM,Med Annex1,Accepted Online,{null},Staff
7/20/2016 9:22:00 AM,MED #8 KL,Accepted Online,2017,Med Student 172
7/20/2016 10:05:56 AM,MED #4 KL,Accepted Online,{null},Staff
7/20/2016 10:49:43 AM,MED #8 KL,Accepted Online,2017,Med Student 172
7/20/2016 11:42:07 AM,Med Annex2,Accepted Online,{null},Staff
7/20/2016 12:18:17 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/20/2016 12:21:34 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/20/2016 12:22:30 PM,MED #8 KL,Accepted Online,2017,Med Student 172
7/20/2016 12:26:30 PM,Med Annex2,Accepted Online,{null},Staff
7/20/2016 1:55:41 PM,Med Annex1,Accepted Online,2017,Med Student 196
7/20/2016 2:09:37 PM,Med Annex1,Accepted Online,2017,Med Student 172
7/20/2016 2:41:34 PM,MED #8 KL,Accepted Online,2017,Med Student 196
7/20/2016 2:47:21 PM,Med Annex2,Accepted Online,2017,Med Student 172
7/20/2016 4:05:16 PM,Med Annex1,Accepted Online,2017,Med Student 172
7/20/2016 4:16:07 PM,MED #4 KL,Accepted Online,{null},{null}
7/20/2016 5:38:23 PM,Med Annex1,Accepted Online,2017,Med Student 172
7/21/2016 12:21:05 PM,Med Annex2,Accepted Online,2017,Med Student 196
7/21/2016 12:22:34 PM,Med Annex2,Accepted Online,2017,Med Student 196
7/21/2016 1:24:30 PM,Med Annex2,Accepted Online,2017,Med Student 172
7/21/2016 1:45:48 PM,MED #4 KL,perm sch invalid,{null},{null}
7/21/2016 2:23:59 PM,MED #8 KL,Accepted Online,{null},Staff
7/21/2016 2:28:07 PM,Med Annex2,Accepted Online,{null},Staff
7/21/2016 2:36:21 PM,MED #4 KL,Accepted Online,2017,Med Student 196
7/21/2016 3:45:31 PM,Med #1 KL,Accepted Online,2017,Med Student 196
7/21/2016 3:56:56 PM,Med #1 KL,Accepted Online,2017,Med Student 196
7/21/2016 4:06:09 PM,Med Annex1,Accepted Online,2017,Med Student 172
7/21/2016 4:16:06 PM,MED #4 KL,Accepted Online,{null},{null}
