Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
9/19/2016 7:12:31 AM,Med Annex2,Accepted Online,2020,Med Student 536
9/19/2016 7:14:16 AM,Med Annex1,Accepted Online,{null},Staff
9/19/2016 7:46:11 AM,MED #8 KL,Accepted Online,2019,Med Student 430
9/19/2016 9:04:54 AM,MED #8 KL,Accepted Online,2019,Med Student 430
9/19/2016 9:52:06 AM,Med Annex2,Accepted Online,2019,Med Student 352
9/19/2016 10:08:42 AM,MED #9 KL,Accepted Online,2019,Med Student 366
9/19/2016 10:15:08 AM,Med Annex1,Accepted Online,2019,Med Student 366
9/19/2016 10:18:44 AM,MED #9 KL,Accepted Online,2019,Med Student 366
9/19/2016 10:38:39 AM,Med Annex1,Accepted Online,2019,Med Student 366
9/19/2016 10:45:44 AM,MED #8 KL,Accepted Online,2019,Med Student 386
9/19/2016 10:47:33 AM,MED #8 KL,Accepted Online,2019,Med Student 386
9/19/2016 10:51:29 AM,Med Annex2,Accepted Online,2019,Med Student 360
9/19/2016 10:56:35 AM,Med Annex2,Accepted Online,2020,Med Student 475
9/19/2016 10:57:39 AM,MED #8 KL,Accepted Online,2020,Med Student 473
9/19/2016 10:58:15 AM,MED #5 KL,Accepted Online,2020,Med Student 474
9/19/2016 10:58:50 AM,Med Annex1,Accepted Online,2020,Med Student 473
9/19/2016 11:00:53 AM,MED #8 KL,Accepted Online,2020,Med Student 542
9/19/2016 11:01:25 AM,MED #7 KL,Accepted Online,2020,Med Student 542
9/19/2016 11:01:30 AM,MED #6 KL,Accepted Online,2020,Med Student 491
9/19/2016 11:02:08 AM,MED #6 KL,Accepted Online,2020,Med Student 491
9/19/2016 11:02:18 AM,MED #8 KL,Accepted Online,2020,Med Student 473
9/19/2016 11:02:57 AM,MED #7 KL,Accepted Online,2020,Med Student 542
9/19/2016 11:03:08 AM,Med Annex2,Accepted Online,2019,Med Student 360
9/19/2016 11:04:56 AM,MED #7 KL,Accepted Online,2020,Med Student 542
9/19/2016 11:07:11 AM,Med Annex1,Accepted Online,2020,Med Student 508
9/19/2016 11:07:41 AM,Med Annex2,Accepted Online,2020,Med Student 501
9/19/2016 11:10:27 AM,MED #7 KL,Accepted Online,2020,Med Student 542
9/19/2016 11:10:28 AM,MED #8 KL,Accepted Online,2020,Med Student 478
9/19/2016 11:14:19 AM,MED #5 KL,Accepted Online,2020,Med Student 474
9/19/2016 11:14:47 AM,MED #4 KL,Accepted Online,2019,Med Student 386
9/19/2016 11:15:08 AM,Med Annex1,Accepted Online,2020,Med Student 464
9/19/2016 11:18:51 AM,MED #8 KL,Accepted Online,2019,Med Student 386
9/19/2016 11:20:29 AM,MED #8 KL,Accepted Online,2019,Med Student 365
9/19/2016 11:23:19 AM,Med Annex2,Accepted Online,2020,Med Student 529
9/19/2016 11:24:24 AM,MED #4 KL,Accepted Online,{null},Staff
9/19/2016 11:30:22 AM,Med Annex1,Accepted Online,2020,Med Student 475
9/19/2016 11:30:34 AM,MED #7 KL,Accepted Online,2020,Med Student 542
9/19/2016 11:35:51 AM,MED #8 KL,Accepted Online,2019,Med Student 348
9/19/2016 11:38:46 AM,Med Annex1,Accepted Online,2020,Med Student 474
9/19/2016 11:39:56 AM,MED #5 KL,Accepted Online,2020,Med Student 474
9/19/2016 11:40:31 AM,Med Annex2,Accepted Online,2020,Med Student 540
9/19/2016 11:40:37 AM,MED #8 KL,Accepted Online,2020,Med Student 445
9/19/2016 11:43:08 AM,Med Annex2,Accepted Online,2020,Med Student 504
9/19/2016 11:43:23 AM,MED #8 KL,Accepted Online,2020,Med Student 531
9/19/2016 11:44:52 AM,Med Annex2,Accepted Online,2019,Med Student 383
9/19/2016 11:54:44 AM,Med #1 KL,Accepted Online,2020,Med Student 545
9/19/2016 12:01:46 PM,MED #9 KL,Accepted Online,2019,Med Student 417
9/19/2016 12:01:51 PM,Med #2 KL,Accepted Online,2019,Med Student 387
9/19/2016 12:04:13 PM,MED #6 KL,Accepted Online,2020,Med Student 491
9/19/2016 12:04:15 PM,MED #7 KL,Accepted Online,2020,Med Student 542
9/19/2016 12:06:29 PM,Med Annex1,Accepted Online,2020,Med Student 504
9/19/2016 12:06:52 PM,MED #8 KL,Accepted Online,2019,Med Student 366
9/19/2016 12:08:03 PM,MED #8 KL,Accepted Online,2020,Med Student 453
9/19/2016 12:14:41 PM,MED #9 KL,Accepted Online,2019,Med Student 387
9/19/2016 12:19:44 PM,Med Annex1,Accepted Online,2020,Med Student 474
9/19/2016 12:20:25 PM,MED #5 KL,Accepted Online,2020,Med Student 474
9/19/2016 12:20:50 PM,MED #8 KL,Accepted Online,2019,Med Student 386
9/19/2016 12:24:22 PM,MED #8 KL,Accepted Online,2020,Med Student 531
9/19/2016 12:33:05 PM,MED #8 KL,Accepted Online,2019,Med Student 366
9/19/2016 12:33:41 PM,MED #4 KL,Accepted Online,2020,Med Student 531
9/19/2016 12:40:19 PM,MED #7 KL,Accepted Online,2020,Med Student 542
9/19/2016 12:41:48 PM,Med Annex2,Accepted Online,2020,Med Student 520
