Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
10/17/2016 8:43:10 AM,MED #4 KL,Accepted Online,{null},Faculty
10/17/2016 8:56:06 AM,Med Annex2,Accepted Online,2020,Med Student 464
10/17/2016 9:38:37 AM,Med Annex2,Accepted Online,{null},{null}
10/17/2016 10:43:46 AM,Med Annex2,Accepted Online,2018,Med Student 309
10/17/2016 10:56:52 AM,Med #2 KL,Accepted Online,2020,Med Student 501
10/17/2016 10:57:22 AM,Med Annex2,Accepted Online,2020,Med Student 535
10/17/2016 10:57:50 AM,Med Annex2,Accepted Online,2020,Med Student 561
10/17/2016 10:58:26 AM,MED #9 KL,Accepted Online,2020,Med Student 461
10/17/2016 10:58:50 AM,Med Annex2,Accepted Online,2020,Med Student 475
10/17/2016 10:59:20 AM,Med #1 KL,Accepted Online,2019,Med Student 416
10/17/2016 10:59:46 AM,Med Annex1,Accepted Online,2020,Med Student 535
10/17/2016 11:02:26 AM,MED #8 KL,Accepted Online,2020,Med Student 522
10/17/2016 11:02:58 AM,Med Annex2,Accepted Online,2019,Med Student 368
10/17/2016 11:03:01 AM,MED #8 KL,Accepted Online,2020,Med Student 552
10/17/2016 11:05:53 AM,MED #8 KL,Accepted Online,2020,Med Student 522
10/17/2016 11:05:55 AM,Med Annex2,Accepted Online,2020,Med Student 480
10/17/2016 11:06:25 AM,Med Annex2,Accepted Online,2019,Med Student 394
10/17/2016 11:07:41 AM,Med Annex2,Accepted Online,2020,Med Student 474
10/17/2016 11:08:14 AM,Med Annex2,Accepted Online,2020,Med Student 473
10/17/2016 11:08:36 AM,MED #8 KL,Accepted Online,2020,Med Student 552
10/17/2016 11:08:44 AM,MED #3 KL,Accepted Online,2019,Med Student 369
10/17/2016 11:10:18 AM,Med Annex2,Accepted Online,2020,Med Student 564
10/17/2016 11:10:21 AM,MED #3 KL,Accepted Online,2019,Med Student 369
10/17/2016 11:12:12 AM,MED #4 KL,Accepted Online,2019,Med Student 386
10/17/2016 11:12:27 AM,Med Annex2,Accepted Online,2019,Med Student 423
10/17/2016 11:14:00 AM,MED #6 KL,Accepted Online,2019,Med Student 417
10/17/2016 11:14:17 AM,Med Annex1,Accepted Online,2020,Med Student 540
10/17/2016 11:18:44 AM,Med Annex1,Accepted Online,2020,Med Student 540
10/17/2016 11:21:39 AM,Med #1 KL,Accepted Online,2019,Med Student 416
10/17/2016 11:22:04 AM,MED #8 KL,Accepted Online,2020,Med Student 487
10/17/2016 11:26:14 AM,MED #5 KL,Accepted Online,2020,Med Student 559
10/17/2016 11:26:32 AM,Med Annex2,Accepted Online,2019,Med Student 423
10/17/2016 11:27:59 AM,Med Annex1,Accepted Online,2020,Med Student 464
10/17/2016 11:28:40 AM,Med Annex2,Accepted Online,2019,Med Student 394
10/17/2016 11:29:40 AM,MED #5 KL,Accepted Online,2020,Med Student 559
10/17/2016 11:30:05 AM,MED #8 KL,Accepted Online,2019,Med Student 382
10/17/2016 11:30:39 AM,MED #7 KL,Accepted Online,2019,Med Student 383
10/17/2016 11:32:55 AM,MED #3 KL,Accepted Online,2019,Med Student 369
10/17/2016 11:38:56 AM,Med #2 KL,Accepted Online,2020,Med Student 501
10/17/2016 11:39:11 AM,Med Annex1,Accepted Online,2020,Med Student 501
10/17/2016 11:40:27 AM,Med #2 KL,Accepted Online,2020,Med Student 501
10/17/2016 11:41:57 AM,MED #8 KL,Accepted Online,2020,Med Student 522
10/17/2016 11:42:37 AM,Med Annex2,Accepted Online,2020,Med Student 475
10/17/2016 11:44:02 AM,Med Annex1,Accepted Online,2019,Med Student 417
10/17/2016 11:44:17 AM,MED #8 KL,Accepted Online,2019,Med Student 365
10/17/2016 11:46:50 AM,MED #6 KL,Accepted Online,2019,Med Student 417
10/17/2016 11:50:11 AM,MED #8 KL,Accepted Online,2020,Med Student 487
10/17/2016 11:53:56 AM,Med Annex2,Accepted Online,2019,Med Student 368
10/17/2016 11:57:07 AM,Med #1 KL,Accepted Online,2019,Med Student 416
10/17/2016 11:57:38 AM,MED #6 KL,Accepted Online,2019,Med Student 417
10/17/2016 11:59:55 AM,MED #8 KL,Accepted Online,2019,Med Student 430
10/17/2016 12:03:31 PM,MED #7 KL,Accepted Online,2020,Med Student 488
10/17/2016 12:04:10 PM,MED #8 KL,Accepted Online,2019,Med Student 430
10/17/2016 12:04:41 PM,Med Annex1,Accepted Online,2020,Med Student 564
10/17/2016 12:07:33 PM,MED #8 KL,Accepted Online,2020,Med Student 552
10/17/2016 12:07:44 PM,Med Annex2,Accepted Online,2020,Med Student 561
10/17/2016 12:08:53 PM,MED #9 KL,Accepted Online,2020,Med Student 461
10/17/2016 12:09:38 PM,Med Annex2,Accepted Online,2019,Med Student 430
10/17/2016 12:11:03 PM,Med Annex2,Accepted Online,2020,Med Student 485
10/17/2016 12:14:46 PM,Med #1 KL,Accepted Online,2019,Med Student 416
10/17/2016 12:19:56 PM,Med Annex1,Accepted Online,2020,Med Student 534
10/17/2016 12:22:49 PM,Med Annex2,Accepted Online,2020,Med Student 547
10/17/2016 12:23:28 PM,Med Annex1,Accepted Online,2020,Med Student 475
10/17/2016 12:24:11 PM,MED #4 KL,Accepted Online,2019,Med Student 386
10/17/2016 12:27:16 PM,MED #8 KL,Accepted Online,2020,Med Student 453
10/17/2016 12:29:52 PM,Med Annex2,Accepted Online,2020,Med Student 474
10/17/2016 12:30:25 PM,MED #8 KL,Accepted Online,2020,Med Student 453
10/17/2016 12:30:41 PM,MED #8 KL,Accepted Online,2019,Med Student 365
10/17/2016 12:32:30 PM,MED #8 KL,Accepted Online,2020,Med Student 530
10/17/2016 12:34:05 PM,MED #8 KL,Accepted Online,2019,Med Student 370
10/17/2016 12:34:42 PM,MED #8 KL,Accepted Online,2020,Med Student 542
10/17/2016 12:38:50 PM,Med Annex2,Accepted Online,2020,Med Student 458
10/17/2016 12:41:50 PM,MED #8 KL,Accepted Online,2020,Med Student 563
10/17/2016 12:43:42 PM,MED #4 KL,Accepted Online,2019,Med Student 386
10/17/2016 12:44:11 PM,MED #8 KL,Accepted Online,2019,Med Student 370
10/17/2016 12:47:38 PM,Med Annex1,Accepted Online,2020,Med Student 449
10/17/2016 12:47:50 PM,Med Annex2,Accepted Online,2019,Med Student 423
10/17/2016 12:49:43 PM,Med Annex2,Accepted Online,2020,Med Student 454
10/17/2016 12:49:44 PM,MED #8 KL,Accepted Online,2019,Med Student 370
10/17/2016 12:50:43 PM,Med Annex1,Accepted Online,2020,Med Student 564
10/17/2016 12:59:01 PM,Med Annex2,Accepted Online,2019,Med Student 390
