Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
5/9/2016 7:03:11 AM,Med Annex2,Accepted Online,2018,Med Student 253
5/9/2016 7:45:13 AM,MED #8 KL,Accepted Online,2018,Med Student 300
5/9/2016 7:48:49 AM,MED #3 KL,Accepted Online,2018,Med Student 300
5/9/2016 7:48:57 AM,Med #2 KL,Accepted Online,2018,Med Student 300
5/9/2016 7:49:03 AM,MED #3 KL,Accepted Online,2018,Med Student 300
5/9/2016 7:49:50 AM,Med Annex1,Accepted Online,2018,Med Student 300
5/9/2016 7:50:46 AM,MED #3 KL,Accepted Online,2018,Med Student 300
5/9/2016 8:08:36 AM,MED #8 KL,Accepted Online,2018,Med Student 300
5/9/2016 8:09:12 AM,MED #3 KL,Accepted Online,2018,Med Student 300
5/9/2016 8:12:03 AM,MED #8 KL,Accepted Online,2018,Med Student 269
5/9/2016 8:16:08 AM,MED #8 KL,Accepted Online,2018,Med Student 269
5/9/2016 8:18:04 AM,MED #3 KL,Accepted Online,2018,Med Student 300
5/9/2016 8:22:13 AM,MED #8 KL,Accepted Online,2018,Med Student 269
5/9/2016 8:33:58 AM,Med Annex1,Accepted Online,{null},Staff
5/9/2016 8:40:29 AM,MED #4 KL,Accepted Online,2018,Med Student 269
5/9/2016 9:02:37 AM,MED #8 KL,Accepted Online,2019,Med Student 386
5/9/2016 9:16:10 AM,MED #8 KL,Accepted Online,2018,Med Student 285
5/9/2016 9:25:26 AM,MED #4 KL,Accepted Online,{null},Staff
5/9/2016 9:41:46 AM,Med Annex2,Accepted Online,2018,Med Student 253
5/9/2016 9:54:47 AM,MED #4 KL,Accepted Online,2018,Med Student 285
5/9/2016 9:55:46 AM,MED #4 KL,Accepted Online,2019,Med Student 386
5/9/2016 9:56:42 AM,MED #8 KL,Accepted Online,2018,Med Student 288
5/9/2016 10:11:53 AM,MED #4 KL,Accepted Online,2018,Med Student 285
5/9/2016 10:12:13 AM,Med Annex2,Accepted Online,2018,Med Student 262
5/9/2016 10:15:18 AM,Med #2 KL,Accepted Online,2019,Med Student 416
5/9/2016 10:15:29 AM,MED #7 KL,Accepted Online,2019,Med Student 416
5/9/2016 10:16:55 AM,MED #8 KL,Accepted Online,2018,Med Student 305
5/9/2016 10:31:05 AM,MED #8 KL,Accepted Online,2018,Med Student 269
5/9/2016 10:44:12 AM,MED #8 KL,Accepted Online,2018,Med Student 269
5/9/2016 10:50:34 AM,MED #3 KL,Accepted Online,2018,Med Student 300
5/9/2016 10:51:53 AM,Med Annex1,Accepted Online,2019,Med Student 416
5/9/2016 10:52:38 AM,MED #7 KL,Accepted Online,2019,Med Student 416
5/9/2016 11:02:04 AM,MED #3 KL,Accepted Online,2018,Med Student 300
5/9/2016 11:06:43 AM,MED #8 KL,Accepted Online,2019,Med Student 386
5/9/2016 11:10:34 AM,MED #8 KL,Accepted Online,2019,Med Student 386
5/9/2016 11:15:05 AM,MED #8 KL,Accepted Online,2019,Med Student 372
5/9/2016 11:18:29 AM,Med Annex1,Accepted Online,2019,Med Student 318
5/9/2016 11:19:19 AM,MED #4 KL,Accepted Online,{null},Staff
5/9/2016 11:21:20 AM,MED #8 KL,Accepted Online,2019,Med Student 372
5/9/2016 11:21:32 AM,Med Annex1,Accepted Online,2019,Med Student 318
5/9/2016 11:21:56 AM,Med Annex2,Accepted Online,2019,Med Student 404
5/9/2016 11:22:20 AM,Med #1 KL,Accepted Online,2019,Med Student 348
5/9/2016 11:22:34 AM,MED #6 KL,Accepted Online,2019,Med Student 348
5/9/2016 11:24:03 AM,MED #9 KL,Accepted Online,2019,Med Student 353
5/9/2016 11:25:08 AM,Med Annex2,Accepted Online,{null},{null}
5/9/2016 11:25:32 AM,MED #5 KL,Accepted Online,2019,Med Student 416
5/9/2016 11:25:46 AM,MED #7 KL,Accepted Online,2019,Med Student 416
5/9/2016 11:26:50 AM,MED #8 KL,Accepted Online,2018,Med Student 285
5/9/2016 11:27:16 AM,Med Annex1,Accepted Online,2019,Med Student 372
5/9/2016 11:28:07 AM,Med Annex1,Accepted Online,2019,Med Student 318
5/9/2016 11:28:43 AM,Med Annex2,Accepted Online,2019,Med Student 423
5/9/2016 11:30:56 AM,Med Annex1,Accepted Online,2019,Med Student 404
5/9/2016 11:36:49 AM,MED #8 KL,Accepted Online,2018,Med Student 269
5/9/2016 11:38:45 AM,Med Annex2,Accepted Online,2019,Med Student 397
5/9/2016 11:49:03 AM,MED #8 KL,Accepted Online,2019,Med Student 332
5/9/2016 11:50:09 AM,Med Annex2,Accepted Online,2019,Med Student 348
5/9/2016 11:52:09 AM,Med Annex2,Accepted Online,2019,Med Student 348
5/9/2016 12:00:34 PM,Med Annex2,Accepted Online,2018,Med Student 253
5/9/2016 12:01:01 PM,Med Annex2,Accepted Online,2019,Med Student 403
5/9/2016 12:02:24 PM,MED #7 KL,Accepted Online,2019,Med Student 416
5/9/2016 12:04:20 PM,Med Annex2,Accepted Online,2019,Med Student 416
