Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
8/1/2016 8:12:42 AM,Med Annex2,Accepted Online,{null},Staff
8/1/2016 9:13:00 AM,MED #8 KL,Accepted Online,2019,Med Student 393
8/1/2016 9:28:10 AM,MED #8 KL,Accepted Online,2019,Med Student 393
8/1/2016 10:25:06 AM,Med Annex2,Accepted Online,{null},Staff
8/1/2016 12:22:09 PM,Med Annex2,Accepted Online,2019,Med Student 393
8/1/2016 1:06:03 PM,MED #3 KL,Accepted Online,2019,Med Student 369
8/1/2016 1:07:18 PM,Med Annex2,Accepted Online,2019,Med Student 393
8/1/2016 1:15:06 PM,Med Annex2,Accepted Online,{null},Staff
8/1/2016 1:33:11 PM,Med Annex2,Accepted Online,{null},Staff
8/1/2016 1:47:08 PM,Med Annex2,Accepted Online,{null},Staff
8/1/2016 2:06:06 PM,Med Annex1,Accepted Online,2019,Med Student 393
8/1/2016 2:55:59 PM,MED #3 KL,Accepted Online,2019,Med Student 369
8/1/2016 3:01:21 PM,MED #4 KL,Accepted Online,{null},Staff
8/1/2016 3:03:12 PM,MED #4 KL,Accepted Online,{null},Staff
8/1/2016 3:03:36 PM,MED #8 KL,Accepted Online,2019,Med Student 393
8/1/2016 3:11:52 PM,Med Annex2,Accepted Online,{null},Staff
8/1/2016 4:03:17 PM,MED #8 KL,Accepted Online,2020,Med Student 473
8/1/2016 4:08:25 PM,Med Annex2,Accepted Online,2020,Med Student 541
8/1/2016 4:43:10 PM,MED #8 KL,Accepted Online,2019,Med Student 393
8/1/2016 4:47:29 PM,Med Annex2,Accepted Online,{null},Staff
8/1/2016 5:54:24 PM,Med Annex2,Accepted Online,{null},Staff
8/1/2016 8:11:11 PM,Med Annex2,Accepted Online,2019,Med Student 359
8/2/2016 7:16:55 AM,Med Annex2,Accepted Online,{null},Staff
8/2/2016 7:25:40 AM,MED #4 KL,Accepted Online,{null},Staff
8/2/2016 7:28:57 AM,MED #4 KL,Accepted Online,{null},Staff
8/2/2016 8:22:44 AM,Med Annex2,Accepted Online,{null},{null}
8/2/2016 8:24:00 AM,Med Annex2,Accepted Online,{null},{null}
8/2/2016 8:24:34 AM,Med Annex1,Accepted Online,{null},Staff
8/2/2016 8:25:53 AM,Med Annex1,Accepted Online,{null},Staff
