Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
6/27/2016 6:18:11 AM,Med Annex2,Accepted Online,2019,Med Student 318
6/27/2016 8:23:54 AM,Med Annex2,Accepted Online,2017,Med Student 196
6/27/2016 8:32:05 AM,Med Annex1,Accepted Online,2017,Med Student 196
6/27/2016 10:27:22 AM,Med Annex2,Accepted Online,{null},Staff
6/27/2016 11:57:15 AM,Med Annex1,Accepted Online,2017,Med Student 196
6/27/2016 12:29:11 PM,Med Annex2,Accepted Online,2019,Med Student 318
6/27/2016 1:34:30 PM,Med Annex1,Accepted Online,2017,Med Student 196
6/27/2016 2:04:46 PM,Med Annex2,Accepted Online,2019,Med Student 318
6/27/2016 2:21:21 PM,Med Annex2,Accepted Online,2019,Med Student 390
6/27/2016 2:43:00 PM,Med Annex1,Accepted Online,2019,Med Student 390
6/27/2016 3:07:02 PM,Med Annex2,Accepted Online,{null},Staff
6/27/2016 3:21:41 PM,Med Annex1,Accepted Online,2019,Med Student 389
6/27/2016 3:28:14 PM,Med Annex1,Accepted Online,2017,Med Student 196
6/27/2016 3:34:48 PM,Med Annex1,Accepted Online,2019,Med Student 366
6/27/2016 4:01:19 PM,Med Annex2,Accepted Online,2019,Med Student 389
6/27/2016 4:47:55 PM,Med Annex2,Accepted Online,2019,Med Student 404
6/27/2016 5:01:32 PM,Med Annex1,Accepted Online,2019,Med Student 389
6/27/2016 5:39:17 PM,Med Annex1,Accepted Online,2019,Med Student 390
6/27/2016 5:53:07 PM,Med Annex1,Accepted Online,2019,Med Student 366
6/27/2016 6:11:17 PM,Med Annex1,Accepted Online,2019,Med Student 404
6/27/2016 6:38:52 PM,Med Annex2,Accepted Online,2019,Med Student 389
6/27/2016 6:53:37 PM,Med Annex2,Accepted Online,2019,Med Student 390
6/28/2016 6:27:01 AM,Med Annex2,Accepted Online,2019,Med Student 318
6/28/2016 8:47:35 AM,MED #8 KL,Accepted Online,2017,Med Student 196
6/28/2016 9:07:43 AM,Med Annex2,Accepted Online,2019,Med Student 334
6/28/2016 9:36:16 AM,Med Annex2,Accepted Online,{null},Staff
6/28/2016 11:00:21 AM,MED #8 KL,Accepted Online,2017,Med Student 196
6/28/2016 11:40:59 AM,Med Annex2,Accepted Online,{null},Staff
6/28/2016 12:34:26 PM,Med Annex1,Accepted Online,{null},Staff
6/28/2016 12:34:48 PM,MED #8 KL,Accepted Online,2017,Med Student 196
6/28/2016 12:59:13 PM,Med Annex2,Accepted Online,2019,Med Student 318
6/28/2016 1:32:47 PM,Med Annex2,Accepted Online,2019,Med Student 363
6/28/2016 2:07:14 PM,MED #8 KL,Accepted Online,2017,Med Student 196
6/28/2016 2:34:00 PM,Med Annex2,Accepted Online,2019,Med Student 318
6/28/2016 2:38:41 PM,MED #8 KL,Accepted Online,2019,Med Student 318
6/28/2016 2:39:24 PM,MED #9 KL,Accepted Online,2019,Med Student 318
6/28/2016 2:45:26 PM,Med Annex2,Accepted Online,2019,Med Student 318
6/28/2016 3:25:06 PM,Med Annex2,Accepted Online,2019,Med Student 363
6/28/2016 3:39:20 PM,MED #4 KL,Accepted Online,{null},{null}
6/28/2016 4:37:57 PM,MED #8 KL,Accepted Online,2017,Med Student 196
6/28/2016 5:10:32 PM,Med Annex2,Accepted Online,{null},Staff
6/28/2016 5:54:38 PM,MED #9 KL,Accepted Online,2019,Med Student 318
6/28/2016 5:58:32 PM,Med Annex1,Accepted Online,2019,Med Student 404
6/28/2016 6:00:08 PM,Med Annex1,Accepted Online,2019,Med Student 318
6/28/2016 6:00:19 PM,Med Annex1,Accepted Online,2019,Med Student 404
6/28/2016 6:40:25 PM,Med Annex2,Accepted Online,2019,Med Student 389
6/28/2016 6:56:48 PM,Med Annex2,Accepted Online,2019,Med Student 404
6/28/2016 7:28:17 PM,Med Annex1,Accepted Online,2019,Med Student 404
6/28/2016 8:20:32 PM,Med Annex1,Accepted Online,2019,Med Student 389
6/28/2016 8:29:17 PM,Med Annex1,Accepted Online,2019,Med Student 404
6/28/2016 8:47:08 PM,Med Annex2,Accepted Online,2019,Med Student 363
6/28/2016 10:22:29 PM,Med Annex1,Accepted Online,2019,Med Student 389
6/29/2016 6:16:19 AM,Med Annex2,Accepted Online,2019,Med Student 318
6/29/2016 8:42:56 AM,Med Annex2,Accepted Online,{null},Staff
6/29/2016 8:46:59 AM,Med Annex1,Accepted Online,{null},Staff
6/29/2016 9:58:22 AM,Med Annex2,Accepted Online,2019,Med Student 366
6/29/2016 10:28:26 AM,MED #4 KL,Accepted Online,{null},Staff
6/29/2016 10:34:22 AM,Med Annex2,Accepted Online,{null},Staff
6/29/2016 11:04:44 AM,MED #8 KL,Accepted Online,2017,Med Student 196
6/29/2016 11:14:32 AM,Med Annex2,Accepted Online,2019,Med Student 389
6/29/2016 11:44:05 AM,Med Annex2,Accepted Online,2019,Med Student 318
6/29/2016 11:51:31 AM,Med Annex2,Accepted Online,2019,Med Student 363
6/29/2016 12:12:35 PM,Med Annex2,Accepted Online,2019,Med Student 437
6/29/2016 12:14:08 PM,MED #8 KL,Accepted Online,2017,Med Student 196
6/29/2016 12:19:38 PM,Med Annex1,Accepted Online,2019,Med Student 389
6/29/2016 12:59:45 PM,Med Annex2,Accepted Online,2019,Med Student 390
6/29/2016 1:03:29 PM,Med Annex1,Accepted Online,{null},Staff
6/29/2016 1:06:04 PM,Med Annex2,Accepted Online,2019,Med Student 390
6/29/2016 1:07:49 PM,Med Annex2,Accepted Online,2019,Med Student 318
6/29/2016 1:11:20 PM,Med Annex2,Accepted Online,2019,Med Student 363
6/29/2016 1:25:26 PM,Med Annex1,Accepted Online,2019,Med Student 389
6/29/2016 1:51:49 PM,Med Annex1,Accepted Online,2019,Med Student 366
6/29/2016 1:53:18 PM,Med Annex1,Accepted Online,2019,Med Student 366
6/29/2016 1:55:30 PM,Med Annex2,Accepted Online,2019,Med Student 390
6/29/2016 2:25:03 PM,MED #9 KL,Accepted Online,2019,Med Student 318
6/29/2016 2:27:10 PM,Med Annex2,Accepted Online,2019,Med Student 363
6/29/2016 2:30:46 PM,Med Annex2,Accepted Online,2019,Med Student 318
6/29/2016 2:56:27 PM,Med Annex2,Accepted Online,{null},Staff
6/29/2016 3:03:31 PM,Med Annex2,Accepted Online,2017,Med Student 196
6/29/2016 3:33:42 PM,Med Annex2,Accepted Online,2019,Med Student 363
6/29/2016 3:52:38 PM,MED #8 KL,Accepted Online,2017,Med Student 196
6/29/2016 4:20:45 PM,Med Annex2,Accepted Online,2019,Med Student 389
6/29/2016 5:07:45 PM,Med Annex1,Accepted Online,2019,Med Student 363
6/29/2016 5:17:40 PM,Med Annex1,Accepted Online,2019,Med Student 363
6/29/2016 5:26:56 PM,Med Annex1,Accepted Online,2019,Med Student 404
6/29/2016 5:44:44 PM,Med Annex2,Accepted Online,{null},Staff
6/29/2016 5:56:07 PM,MED #4 KL,Accepted Online,{null},Staff
6/29/2016 6:22:44 PM,Med Annex2,Accepted Online,2019,Med Student 404
6/29/2016 6:40:48 PM,Med Annex2,Accepted Online,2019,Med Student 389
6/30/2016 10:25:32 AM,Med Annex2,Accepted Online,2017,Med Student 196
6/30/2016 10:33:51 AM,Med Annex2,Accepted Online,{null},Staff
6/30/2016 11:20:52 AM,Med Annex2,Accepted Online,2018,Med Student 277
6/30/2016 11:31:03 AM,Med Annex2,Accepted Online,2018,Med Student 277
6/30/2016 12:17:27 PM,Med Annex2,Accepted Online,{null},Staff
6/30/2016 12:26:36 PM,Med Annex2,Accepted Online,2019,Med Student 366
6/30/2016 12:32:00 PM,Med Annex2,Accepted Online,2018,Med Student 277
