Door Access Actual DateTime,Door Name,Result,Expected Graduation year,Unique Identifier
2/20/2017 6:04:30 AM,Med Annex2,Accepted Online,2019,Med Student 404
2/20/2017 6:24:10 AM,Med Annex2,Accepted Online,2019,Med Student 318
2/20/2017 6:52:35 AM,Med Annex2,Accepted Online,2019,Med Student 405
2/20/2017 6:57:32 AM,Med Annex2,Accepted Online,2020,Med Student 552
2/20/2017 7:00:06 AM,MED #8 KL,Accepted Online,2019,Med Student 331
2/20/2017 7:06:10 AM,Med Annex2,Accepted Online,2019,Med Student 439
2/20/2017 7:11:06 AM,MED #3 KL,Accepted Online,2019,Med Student 439
2/20/2017 7:11:21 AM,Med Annex1,Accepted Online,2019,Med Student 439
2/20/2017 7:12:45 AM,MED #8 KL,Accepted Online,2019,Med Student 399
2/20/2017 7:36:26 AM,Med Annex2,Accepted Online,2019,Med Student 390
2/20/2017 7:45:37 AM,MED #4 KL,Accepted Online,2019,Med Student 386
2/20/2017 7:54:59 AM,MED #8 KL,Accepted Online,2019,Med Student 399
2/20/2017 7:55:39 AM,MED #8 KL,Accepted Online,2019,Med Student 331
2/20/2017 8:01:21 AM,MED #8 KL,Accepted Online,2019,Med Student 423
2/20/2017 8:13:58 AM,Med Annex2,Accepted Online,2019,Med Student 318
2/20/2017 8:20:29 AM,Med Annex2,Accepted Online,2019,Med Student 372
2/20/2017 8:33:51 AM,Med Annex1,Accepted Online,2019,Med Student 372
2/20/2017 8:42:23 AM,Med Annex2,Accepted Online,2019,Med Student 404
2/20/2017 9:02:18 AM,Med Annex2,Accepted Online,2020,Med Student 453
2/20/2017 9:02:59 AM,Med Annex2,Accepted Online,2020,Med Student 547
2/20/2017 9:23:06 AM,Med Annex2,Accepted Online,2020,Med Student 529
2/20/2017 9:28:43 AM,Med Annex1,Accepted Online,{null},Faculty
2/20/2017 9:54:41 AM,Med Annex1,Accepted Online,2020,Med Student 529
2/20/2017 10:03:45 AM,MED #8 KL,Accepted Online,2020,Med Student 493
2/20/2017 10:26:05 AM,Med Annex1,Accepted Online,2020,Med Student 547
2/20/2017 10:35:05 AM,Med #2 KL,Accepted Online,2018,Med Student 221
2/20/2017 10:38:25 AM,Med Annex1,Accepted Online,2020,Med Student 508
2/20/2017 10:55:03 AM,MED #8 KL,Accepted Online,2020,Med Student 493
2/20/2017 10:57:36 AM,MED #4 KL,Accepted Online,2019,Med Student 386
2/20/2017 10:57:44 AM,Med #1 KL,Accepted Online,2019,Med Student 326
2/20/2017 10:57:58 AM,MED #4 KL,Accepted Online,2020,Med Student 511
2/20/2017 10:58:09 AM,Med Annex2,Accepted Online,2019,Med Student 404
2/20/2017 10:58:30 AM,MED #9 KL,Accepted Online,2019,Med Student 326
2/20/2017 10:59:15 AM,MED #4 KL,Accepted Online,2019,Med Student 386
2/20/2017 10:59:24 AM,MED #3 KL,Accepted Online,2019,Med Student 416
2/20/2017 10:59:27 AM,MED #7 KL,Accepted Online,2019,Med Student 417
2/20/2017 10:59:34 AM,Med Annex2,Accepted Online,2019,Med Student 343
2/20/2017 10:59:40 AM,MED #9 KL,Accepted Online,2019,Med Student 439
2/20/2017 10:59:47 AM,Med #2 KL,Accepted Online,2019,Med Student 403
2/20/2017 10:59:50 AM,Med #1 KL,Accepted Online,2019,Med Student 326
2/20/2017 10:59:52 AM,MED #9 KL,Accepted Online,2019,Med Student 416
2/20/2017 11:01:45 AM,MED #6 KL,Accepted Online,2019,Med Student 379
2/20/2017 11:01:45 AM,Med Annex1,Accepted Online,2020,Med Student 547
2/20/2017 11:01:48 AM,MED #3 KL,Accepted Online,2019,Med Student 416
2/20/2017 11:02:26 AM,MED #8 KL,Accepted Online,2020,Med Student 567
2/20/2017 11:02:51 AM,MED #5 KL,Accepted Online,2020,Med Student 511
2/20/2017 11:03:08 AM,Med Annex1,Accepted Online,2019,Med Student 379
2/20/2017 11:03:39 AM,Med Annex2,Accepted Online,2020,Med Student 480
2/20/2017 11:03:56 AM,MED #5 KL,Accepted Online,2020,Med Student 511
2/20/2017 11:04:50 AM,MED #8 KL,Accepted Online,2020,Med Student 543
2/20/2017 11:05:04 AM,Med Annex1,Accepted Online,2020,Med Student 453
